Species	Accession	Clade
Herminia tarsipennalis	GCA_945859615.2	metazoa
Hesperia comma	GCA_905404245.1	metazoa
Hesperia comma	GCA_905404135.1	metazoa
Hestina assimilis	GCA_023373885.1	metazoa
Hipparchia semele	GCA_933228805.2	metazoa
Hipparchia semele	GCA_933228835.1	metazoa
Hipparchia semele	GCA_933228805.1	metazoa
Hofmannophila pseudospretella	GCA_947369225.1	metazoa
Hoplodrina ambigua	GCA_949774945.1	metazoa
Hoplodrina blanda	GCA_949316365.1	metazoa
Hydraecia micacea	GCA_914767645.1	metazoa
Hydraecia micacea	GCA_914767565.1	metazoa
Hydriomena furcata	GCA_912999755.1	metazoa
Hydriomena furcata	GCA_912999785.1	metazoa
Hylaea fasciaria	GCA_905147295.1	metazoa
Hylaea fasciaria	GCA_905147375.1	metazoa
Hyles euphorbiae	GCA_023078785.1	metazoa
Hyles euphorbiae	GCA_023078785.2	metazoa
Hyles vespertilio	GCA_009982885.1	metazoa
Hypena proboscidalis	GCA_905147305.1	metazoa
Hypena proboscidalis	GCA_905147285.1	metazoa
Hypercompe scribonia	GCA_949316075.1	metazoa
Hypercompe scribonia	GCA_949316085.1	metazoa
Hypomecis punctinalis	GCA_949316335.1	metazoa
Hypomecis punctinalis	GCA_949316475.1	metazoa
Hypsopygia costalis	GCA_937001555.1	metazoa
Hypsopygia costalis	GCA_937001695.1	metazoa
Hypsopygia costalis	GCA_937001695.2	metazoa
Hypsopygia costalis	GCA_937001555.2	metazoa
Idaea aversata	GCA_907269075.1	metazoa
Idaea aversata	GCA_907269045.1	metazoa
Idaea dimidiata	GCA_949358125.1	metazoa
Idaea dimidiata	GCA_949358575.1	metazoa
Idaea straminata	GCA_951213275.1	metazoa
Inachis io	GCA_905147045.1	metazoa
Inachis io	GCA_905147125.1	metazoa
Iphiclides podalirius	GCA_933534255.1	metazoa
Lacanobia wlatinum	GCA_947579085.1	metazoa
Lacanobia wlatinum	GCA_947578705.1	metazoa
Lampropteryx suffumata	GCA_948098925.1	metazoa
Lampropteryx suffumata	GCA_948098915.1	metazoa
Laothoe populi	GCA_905220505.1	metazoa
Laothoe populi	GCA_905220495.1	metazoa
Lapara coniferarum	GCA_949316025.1	metazoa
Lapara coniferarum	GCA_949316015.1	metazoa
Lasiommata megera	GCA_928268935.1	metazoa
Lasiommata megera	GCA_928267235.1	metazoa
Laspeyria flexula	GCA_905147035.1	metazoa
Laspeyria flexula	GCA_905147015.1	metazoa
Lathronympha strigana	GCA_949128075.1	metazoa
Lathronympha strigana	GCA_949128165.1	metazoa
Leguminivora glycinivorella	GCA_023078275.1	metazoa
Leguminivora glycinivorella	GCA_023078275.1	metazoa
Leptidea sinapis	GCA_905404105.1	metazoa
Leptidea sinapis	GCA_905404315.1	metazoa
Leucoma salicis	GCA_948253155.1	metazoa
Ligdia adustata	GCA_947049285.1	metazoa
Ligdia adustata	GCA_947049295.1	metazoa
Limenitis camilla	GCA_905147315.1	metazoa
Limenitis camilla	GCA_905147385.1	metazoa
Lithophane leautieri	GCA_949152455.1	metazoa
Lithophane ornitopus	GCA_948473465.1	metazoa
Lithophane ornitopus	GCA_948473405.1	metazoa
Lithophane semibrunnea	GCA_947363905.1	metazoa
Lithophane socia	GCA_947522985.1	metazoa
Lithophane socia	GCA_947522845.1	metazoa
Lobophora halterata	GCA_932526365.1	metazoa
Lobophora halterata	GCA_932525835.1	metazoa
Lomographa bimaculata	GCA_948107675.1	metazoa
Lomographa bimaculata	GCA_948107665.1	metazoa
Luffia ferchaultella	GCA_949709985.1	metazoa
Luperina testacea	GCA_927399495.1	metazoa
Luperina testacea	GCA_927399505.1	metazoa
Lycaena phlaeas	GCA_905333005.2	metazoa
Lycaena phlaeas	GCA_905333065.1	metazoa
Lycaena phlaeas	GCA_905333005.1	metazoa
Lycia hirtaria	GCA_947563705.1	metazoa
Lycia hirtaria	GCA_947563715.1	metazoa
Lycophotia porphyrea	GCA_950005095.1	metazoa
Lycophotia porphyrea	GCA_950005105.1	metazoa
Lymantria monacha	GCA_905163525.1	metazoa
Lymantria monacha	GCA_905163515.2	metazoa
Lysandra bellargus	GCA_905332955.1	metazoa
Lysandra bellargus	GCA_905333045.1	metazoa
Lysandra coridon	GCA_905220515.1	metazoa
Lysandra coridon	GCA_905220525.1	metazoa
Macaria notata	GCA_927399385.1	metazoa
Macaria notata	GCA_927399415.1	metazoa
Mamestra brassicae	GCA_905163435.1	metazoa
Manduca sexta	GCA_014839805.1	metazoa
Manduca sexta	GCA_014839805.1	metazoa
Maniola hyperantus	GCA_902806685.2	metazoa
Maniola jurtina	GCA_905333055.1	metazoa
Maniola jurtina	GCA_905333105.1	metazoa
Marasmarcha lunaedactyla	GCA_923062595.1	metazoa
Marasmarcha lunaedactyla	GCA_923062675.1	metazoa
Marasmia exigua	GCA_019059595.1	metazoa
Mecyna flavalis	GCA_949319885.1	metazoa
Meganola albula	GCA_936440415.1	metazoa
Meganola albula	GCA_936450015.1	metazoa
Melanargia galathea	GCA_920104075.1	metazoa
Melanargia galathea	GCA_920103875.1	metazoa
Melanchra persicariae	GCA_947386135.1	metazoa
Melanchra persicariae	GCA_947386145.1	metazoa
Melinaea marsaeus rileyi	GCA_918361175.2	metazoa
Melinaea marsaeus rileyi	GCA_918358865.1	metazoa
Melinaea menophilus n. ssp. AW-2005	GCA_918358695.1	metazoa
Melinaea menophilus n. ssp. AW-2005	GCA_918361105.2	metazoa
Melitaea cinxia	GCA_905220555.1	metazoa
Melitaea cinxia	GCA_905220565.1	metazoa
Mellicta athalia	GCA_905220535.1	metazoa
Mellicta athalia	GCA_905220545.2	metazoa
Mellicta athalia	GCA_905220545.1	metazoa
Mesoligia furuncula	GCA_916611985.1	metazoa
Mesoligia furuncula	GCA_916614155.1	metazoa
Micropterix aruncella	GCA_944548615.1	metazoa
Micropterix aruncella	GCA_944547385.1	metazoa
Miltochrista miniata	GCA_933228775.1	metazoa
Miltochrista miniata	GCA_933228765.1	metazoa
Mimas tiliae	GCA_905333085.1	metazoa
Mimas tiliae	GCA_905332985.1	metazoa
Monopis laevigella	GCA_947359445.1	metazoa
Monopis laevigella	GCA_947458855.1	metazoa
Musotima nitidalis	GCA_949126915.1	metazoa
Mythimna albipuncta	GCA_929112965.1	metazoa
Mythimna albipuncta	GCA_929113785.1	metazoa
Mythimna ferrago	GCA_910589535.2	metazoa
Mythimna ferrago	GCA_910589285.2	metazoa
Mythimna ferrago	GCA_910589285.1	metazoa
Mythimna ferrago	GCA_910589535.1	metazoa
Mythimna impura	GCA_905147345.3	metazoa
Mythimna impura	GCA_905147345.1	metazoa
Mythimna impura	GCA_905147345.2	metazoa
Mythimna impura	GCA_905147275.1	metazoa
Mythimna lalbum	GCA_949319445.1	metazoa
Mythimna separata	GCA_020882275.1	metazoa
Mythimna vitellina	GCA_949316375.1	metazoa
Noctua fimbriata	GCA_905163415.1	metazoa
Noctua fimbriata	GCA_905163425.1	metazoa
Noctua janthe	GCA_910589295.1	metazoa
Noctua janthe	GCA_910589505.1	metazoa
Noctua pronuba	GCA_905220335.1	metazoa
Noctua pronuba	GCA_905220345.1	metazoa
Notocelia uddmanniana	GCA_905163575.1	metazoa
Notocelia uddmanniana	GCA_905163555.1	metazoa
Notodonta dromedarius	GCA_905147325.1	metazoa
Notodonta dromedarius	GCA_905147855.1	metazoa
Notodonta ziczac	GCA_918843885.1	metazoa
Notodonta ziczac	GCA_918843915.1	metazoa
Nycteola revayana	GCA_947038005.1	metazoa
Nycteola revayana	GCA_947037095.1	metazoa
Nymphalis polychloros	GCA_905220585.2	metazoa
Nymphalis polychloros	GCA_905220585.1	metazoa
Nymphalis polychloros	GCA_905220575.1	metazoa
Nymphalis urticae	GCA_905147175.2	metazoa
Nymphalis urticae	GCA_905147055.1	metazoa
Nymphalis urticae	GCA_905147175.1	metazoa
Nymphula nitidulata	GCA_947347705.1	metazoa
Ochlodes sylvanus	GCA_905404205.1	metazoa
Ochlodes sylvanus	GCA_905404295.2	metazoa
Ochlodes sylvanus	GCA_905404295.1	metazoa
Ochropacha duplaris	GCA_951361185.1	metazoa
Ochropleura plecta	GCA_905475425.1	metazoa
Ochropleura plecta	GCA_905475445.1	metazoa
Oegoconia quadripuncta	GCA_949316235.1	metazoa
Oligia latruncula	GCA_948474745.1	metazoa
Oligia latruncula	GCA_948474685.1	metazoa
Omphaloscelis lunosa	GCA_916610225.1	metazoa
Omphaloscelis lunosa	GCA_916610215.1	metazoa
Operophtera brumata	GCA_932527245.1	metazoa
Operophtera brumata	GCA_932527175.1	metazoa
Opisthograptis luteolata	GCA_931315605.1	metazoa
Opisthograptis luteolata	GCA_931315375.1	metazoa
Opisthograptis luteolata	GCA_931315375.2	metazoa
Opisthograptis luteolata	GCA_931315605.2	metazoa
Orgyia antiqua	GCA_917414775.1	metazoa
Orgyia antiqua	GCA_916999025.1	metazoa
Orthosia gothica	GCA_949775005.1	metazoa
Orthosia gracilis	GCA_947562075.1	metazoa
Orthosia gracilis	GCA_947563345.1	metazoa
Orthosia incerta	GCA_948253185.1	metazoa
Orthosia incerta	GCA_948252205.1	metazoa
Pammene aurita	GCA_947086415.1	metazoa
Pammene fasciana	GCA_911728525.2	metazoa
Pammene fasciana	GCA_911728535.1	metazoa
Pandemis cinnamomeana	GCA_932294345.1	metazoa
Pandemis cinnamomeana	GCA_932294335.1	metazoa
Pandemis corylana	GCA_949127985.1	metazoa
Pandemis corylana	GCA_949127965.1	metazoa
Papilio machaon	GCA_912999765.2	metazoa
Papilio machaon	GCA_912999765.1	metazoa
Papilio machaon	GCA_912999745.1	metazoa
Parapoynx stratiotata	GCA_910589245.1	metazoa
Parapoynx stratiotata	GCA_910589355.1	metazoa
Pararge aegeria	GCA_905163545.1	metazoa
Pararge aegeria	GCA_905163445.1	metazoa
Pectinophora gossypiella	GCA_024362695.1	metazoa
Pectinophora gossypiella	GCA_024362825.1	metazoa
Peribatodes rhomboidaria	GCA_911728515.1	metazoa
Peribatodes rhomboidaria	GCA_911728505.1	metazoa
Petrophora chlorosata	GCA_951640565.1	metazoa
Phalera bucephala	GCA_905147805.2	metazoa
Phalera bucephala	GCA_905147815.2	metazoa
Pheosia gnoma	GCA_905404115.1	metazoa
Pheosia gnoma	GCA_905404125.1	metazoa
Pheosia tremula	GCA_905333115.1	metazoa
Pheosia tremula	GCA_905333125.1	metazoa
Philereme vetulata	GCA_918857605.2	metazoa
Philereme vetulata	GCA_918811585.1	metazoa
Philereme vetulata	GCA_918857605.1	metazoa
Phlogophora meticulosa	GCA_905147745.1	metazoa
Phlogophora meticulosa	GCA_905147725.1	metazoa
Phlogophora meticulosa	GCA_905147745.2	metazoa
Phragmatobia fuliginosa	GCA_932526445.1	metazoa
Phragmatobia fuliginosa	GCA_932526455.1	metazoa
Pieris brassicae	GCA_905147105.1	metazoa
Pieris brassicae	GCA_905147085.1	metazoa
Pieris napi	GCA_905475465.1	metazoa
Pieris napi	GCA_905231895.1	metazoa
Pieris napi	GCA_905475465.2	metazoa
Pieris napi	GCA_905231885.1	metazoa
Pieris napi	GCA_905475415.1	metazoa
Pieris rapae	GCA_905147795.1	metazoa
Pieris rapae	GCA_905147735.1	metazoa
Plebejus argus	GCA_905404165.1	metazoa
Plebejus argus	GCA_905404155.1	metazoa
Plebejus argus	GCA_905404155.2	metazoa
Plebejus argus	GCA_905404155.3	metazoa
Plusia festucae	GCA_950370415.1	metazoa
Plusia festucae	GCA_950381575.1	metazoa
Plutella xylostella	GCA_932276165.1	metazoa
Plutella xylostella	GCA_932276175.1	metazoa
Polymixis flavicincta	GCA_949987655.1	metazoa
Polymixis lichenea	GCA_949091785.1	metazoa
Polyommatus icarus	GCA_937629555.1	metazoa
Polyommatus icarus	GCA_937595015.1	metazoa
Protodeltote pygarga	GCA_936450705.1	metazoa
Protodeltote pygarga	GCA_936440985.2	metazoa
Protodeltote pygarga	GCA_936440985.1	metazoa
Protodeltote pygarga	GCA_936450705.2	metazoa
Pseudoips prasinana	GCA_951640165.1	metazoa
Ptilodon capucinus	GCA_914767775.1	metazoa
Ptilodon capucinus	GCA_914767695.1	metazoa
Pyrausta nigrata	GCA_949316215.1	metazoa
Pyrausta nigrata	GCA_949316185.1	metazoa
Pyrgus malvae	GCA_911387725.2	metazoa
Pyrgus malvae	GCA_911387725.1	metazoa
Pyrgus malvae	GCA_911387765.1	metazoa
Saturnia pavonia	GCA_947532125.1	metazoa
Schrankia costaestrigalis	GCA_905475335.1	metazoa
Schrankia costaestrigalis	GCA_905475405.1	metazoa
Scotopteryx bipunctaria	GCA_949320045.1	metazoa
Scrobipalpa costella	GCA_949820665.1	metazoa
Selenia dentaria	GCA_917880765.1	metazoa
Selenia dentaria	GCA_917880725.1	metazoa
Sesia apiformis	GCA_914767545.1	metazoa
Sesia apiformis	GCA_914767725.1	metazoa
Sesia bembeciformis	GCA_943735995.1	metazoa
Sesia bembeciformis	GCA_943735985.1	metazoa
Shargacucullia verbasci	GCA_947562105.1	metazoa
Sphinx pinastri	GCA_947568825.1	metazoa
Spilarctia lutea	GCA_916047975.1	metazoa
Spilarctia lutea	GCA_916048165.1	metazoa
Spilosoma lubricipeda	GCA_905220605.1	metazoa
Spilosoma lubricipeda	GCA_905220595.1	metazoa
Spodoptera exigua	GCA_022315195.1	metazoa
Spodoptera exigua	GCA_902829305.1	metazoa
Spodoptera frugiperda	GCA_011064685.2	metazoa
Spodoptera littoralis	GCA_902850265.1	metazoa
Spodoptera litura	GCA_002706865.3	metazoa
Stenoptilia bipunctidactyla	GCA_944452665.1	metazoa
Stenoptilia bipunctidactyla	GCA_944452705.1	metazoa
Synanthedon andrenaeformis	GCA_936446665.1	metazoa
Synanthedon andrenaeformis	GCA_936447275.1	metazoa
Synanthedon andrenaeformis	GCA_936446665.2	metazoa
Synanthedon formicaeformis	GCA_945859765.1	metazoa
Synanthedon formicaeformis	GCA_945859745.1	metazoa
Synanthedon myopaeformis	GCA_944738625.1	metazoa
Synanthedon myopaeformis	GCA_944738685.1	metazoa
Synanthedon tipuliformis	GCA_947623395.1	metazoa
Synanthedon vespiformis	GCA_918317495.1	metazoa
Synanthedon vespiformis	GCA_918305855.1	metazoa
Teleiodes luculella	GCA_948473455.1	metazoa
Tetheella fluctuosa	GCA_951216915.1	metazoa
Thalpophila matura	GCA_948466365.1	metazoa
Thalpophila matura	GCA_948465475.1	metazoa
Thera britannica	GCA_939531255.1	metazoa
Thera britannica	GCA_939531255.2	metazoa
Thera britannica	GCA_939531245.1	metazoa
Thera obeliscata	GCA_947581545.1	metazoa
Thera obeliscata	GCA_947578465.1	metazoa
Tholera decimalis	GCA_943138005.1	metazoa
Tholera decimalis	GCA_943138885.2	metazoa
Tholera decimalis	GCA_943138885.1	metazoa
Thumatha senex	GCA_948477245.1	metazoa
Thyatira batis	GCA_905147785.1	metazoa
Thyatira batis	GCA_905147775.1	metazoa
Thymelicus acteon	GCA_951805285.1	metazoa
Thymelicus acteon	GCA_951805295.1	metazoa
Thymelicus sylvestris	GCA_911387775.1	metazoa
Thymelicus sylvestris	GCA_911387695.1	metazoa
Tiliacea aurago	GCA_948098905.1	metazoa
Tinea pellionella	GCA_948150575.1	metazoa
Tinea semifulvella	GCA_910589255.1	metazoa
Tinea semifulvella	GCA_910589645.1	metazoa
Tinea trinotella	GCA_905220625.1	metazoa
Tinea trinotella	GCA_905220615.1	metazoa
Tortricodes alternella	GCA_947859335.1	metazoa
Trichoplusia ni	GCA_003590095.1	metazoa
Trisateles emortualis	GCA_947095545.1	metazoa
Trisateles emortualis	GCA_947095525.1	metazoa
Tyria jacobaeae	GCA_947561705.1	metazoa
Tyria jacobaeae	GCA_947561695.1	metazoa
Udea ferrugalis	GCA_950022945.1	metazoa
Urbanus simplicius	GCA_949699795.1	metazoa
Vanessa atalanta	GCA_905147765.2	metazoa
Vanessa atalanta	GCA_905147765.1	metazoa
Vanessa atalanta	GCA_905147705.1	metazoa
Vanessa atalanta	GCA_905147705.2	metazoa
Vanessa cardui	GCA_905220365.2	metazoa
Vanessa cardui	GCA_905220355.1	metazoa
Vanessa cardui	GCA_905220365.1	metazoa
Vanessa tameamea	GCA_002938995.1	metazoa
Venusia cambrica	GCA_951394065.1	metazoa
Watsonalla binaria	GCA_929442715.1	metazoa
Watsonalla binaria	GCA_929442735.1	metazoa
Xanthia icteritia	GCA_949128155.1	metazoa
Xanthorhoe spadicearia	GCA_947086425.1	metazoa
Xanthorhoe spadicearia	GCA_947086435.1	metazoa
Xestia sexstrigata	GCA_941918905.1	metazoa
Xestia sexstrigata	GCA_941918865.2	metazoa
Xestia sexstrigata	GCA_941918905.2	metazoa
Xestia sexstrigata	GCA_941918865.1	metazoa
Xestia xanthographa	GCA_913789905.1	metazoa
Xestia xanthographa	GCA_905147715.1	metazoa
Xestia xanthographa	GCA_905147755.1	metazoa
Xestia xanthographa	GCA_905147715.2	metazoa
Xestia xanthographa	GCA_905147755.2	metazoa
Xestia xanthographa	GCA_913789945.1	metazoa
Xylocampa areola	GCA_935412865.1	metazoa
Xylocampa areola	GCA_935421205.1	metazoa
Yponomeuta cagnagella	GCA_947310355.1	metazoa
Yponomeuta cagnagella	GCA_947310995.1	metazoa
Yponomeuta padella	GCA_947311065.1	metazoa
Yponomeuta plumbellus	GCA_947310845.1	metazoa
Yponomeuta plumbellus	GCA_947310575.1	metazoa
Yponomeuta sedellus	GCA_934045075.1	metazoa
Ypsolopha scabrella	GCA_910591985.1	metazoa
Ypsolopha scabrella	GCA_910592155.1	metazoa
Ypsolopha sequella	GCA_934041175.1	metazoa
Ypsolopha sequella	GCA_934047225.1	metazoa
Zelleria hepariella	GCA_949319315.1	metazoa
Zerene cesonia	GCA_012273895.2	metazoa
Zerene cesonia	GCA_012273895.2	metazoa
Zeuzera pyrina	GCA_907165235.1	metazoa
Zeuzera pyrina	GCA_907165255.1	metazoa
Zygaena filipendulae	GCA_907165265.2	metazoa
Zygaena filipendulae	GCA_907165275.1	metazoa
Zygaena filipendulae	GCA_907165275.2	metazoa
Zygaena filipendulae	GCA_907165265.1	metazoa
Ailuropoda melanoleuca	GCA_002007445.2	metazoa
Artibeus jamaicensis	GCA_004027435.1	metazoa
Artibeus jamaicensis	GCA_014825515.1	metazoa
Balaenoptera musculus	GCA_009873245.3	metazoa
Balaenoptera musculus	GCA_009873245.2	metazoa
Bos gaurus	GCA_014182915.1	metazoa
Bos mutus	GCA_007646595.3	metazoa
Bos taurus	GCA_002263795.3	metazoa
Bubalus bubalis	GCA_003121395.1	metazoa
Bubalus carabanensis	GCA_029407905.2	metazoa
Callorhinus ursinus	GCA_003265705.1	metazoa
Camelus ferus	GCA_009834535.1	metazoa
Canis lupus	GCA_905319855.2	metazoa
Canis lupus familiaris	GCA_000002285.4	metazoa
Canis lupus familiaris	GCA_005444595.1	metazoa
Canis lupus familiaris	GCA_014441545.1	metazoa
Canis lupus familiaris	GCA_004886185.2	metazoa
Canis lupus familiaris	GCA_004886185.1	metazoa
Canis lupus familiaris	GCA_008641055.1	metazoa
Canis lupus familiaris	GCA_011100685.1	metazoa
Canis lupus familiaris	GCA_008641055.3	metazoa
Capra hircus	GCA_001704415.1	metazoa
Capra hircus	GCA_004361675.1	metazoa
Capreolus pygargus	GCA_012922965.1	metazoa
Ceratotherium simum cottoni	GCA_021442165.1	metazoa
Ceratotherium simum simum	GCA_023653735.1	metazoa
Cervus elaphus	GCA_910594005.1	metazoa
Cervus hanglu yarkandensis	GCA_010411085.1	metazoa
Choloepus didactylus	GCA_015220235.1	metazoa
Crocuta crocuta	GCA_008692635.1	metazoa
Delphinapterus leucas	GCA_009917745.1	metazoa
Delphinapterus leucas	GCA_009917725.1	metazoa
Desmodus rotundus	GCA_002940915.1	metazoa
Elephas maximus indicus	GCA_024166365.1	metazoa
Enhydra lutris kenyoni	GCA_002288905.2	metazoa
Equus asinus	GCA_016077325.2	metazoa
Equus caballus	GCA_002863925.1	metazoa
Eumetopias jubatus	GCA_004028035.1	metazoa
Felis catus	GCA_013340865.1	metazoa
Felis catus	GCA_018350175.1	metazoa
Felis catus x Leopardis geoffroyi	GCA_018350155.1	metazoa
Felis catus x Prionailurus bengalensis	GCA_016509475.1	metazoa
Globicephala melas	GCA_006547405.1	metazoa
Hippopotamus amphibius	GCA_004027065.2	metazoa
Hipposideros armiger	GCA_001890085.1	metazoa
Hipposideros galeritus	GCA_004027415.1	metazoa
Lagenorhynchus obliquidens	GCA_003676395.1	metazoa
Lutra lutra	GCA_902655055.2	metazoa
Lynx canadensis	GCA_007474595.1	metazoa
Manis javanica	GCA_001685135.1	metazoa
Martes flavigula	GCA_029410595.1	metazoa
Martes zibellina	GCA_012583365.1	metazoa
Megaderma lyra	GCA_004026885.1	metazoa
Meles meles	GCA_922984935.2	metazoa
Mirounga leonina	GCA_011800145.1	metazoa
Monodon monoceros	GCA_005190385.2	metazoa
Mustela erminea	GCA_009829155.1	metazoa
Mustela putorius	GCA_902460205.1	metazoa
Neomonachus schauinslandi	GCA_002201575.1	metazoa
Odocoileus hemionus hemionus	GCA_004115125.1	metazoa
Odocoileus virginianus texanus	GCA_002102435.1	metazoa
Orcinus orca	GCA_937001465.1	metazoa
Ornithorhynchus anatinus	GCA_004115215.2	metazoa
Ovis aries	GCA_022416725.1	metazoa
Ovis aries	GCA_016772045.1	metazoa
Ovis aries	GCA_002742125.1	metazoa
Ovis aries	GCA_000298735.2	metazoa
Panthera leo x Panthera tigris	GCA_018350195.1	metazoa
Panthera leo x Panthera tigris	GCA_018350215.1	metazoa
Phacochoerus africanus	GCA_016906955.1	metazoa
Phoca vitulina	GCA_004348235.1	metazoa
Phocoena sinus	GCA_008692025.1	metazoa
Phyllostomus discolor	GCA_004126475.2	metazoa
Phyllostomus discolor	GCA_004126475.3	metazoa
Pipistrellus pipistrellus	GCA_903992545.1	metazoa
Pteropus giganteus	GCA_902729225.1	metazoa
Rousettus aegyptiacus	GCA_001466805.2	metazoa
Sarcophilus harrisii	GCA_902635505.1	metazoa
Sousa chinensis	GCA_007760645.1	metazoa
Suncus etruscus	GCA_024139225.1	metazoa
Sus scrofa	GCA_000003025.6	metazoa
Syncerus caffer	GCA_902825105.1	metazoa
Tragelaphus strepsiceros	GCA_006410795.1	metazoa
Trichechus manatus latirostris	GCA_000243295.1	metazoa
Tursiops aduncus	GCA_003227395.1	metazoa
Tursiops truncatus	GCA_011762595.1	metazoa
Ursus arctos horribilis	GCA_003584765.1	metazoa
Vicugna pacos huacaya	GCA_000767525.1	metazoa
Vicugna vicugna mensalis	GCA_013265495.1	metazoa
Vulpes lagopus	GCA_004023825.1	metazoa
Zalophus californianus	GCA_009762305.2	metazoa
Zalophus californianus	GCA_009762305.1	metazoa
Acanthaster planci	GCA_001949145.1	metazoa
Acropora millepora	GCA_013753865.1	metazoa
Actinia equina	GCA_011057435.1	metazoa
Actinia tenebrosa	GCA_009602425.1	metazoa
Amphimedon queenslandica	GCA_000090795.2	metazoa
Anneissia japonica	GCA_011630105.1	metazoa
Aplysia californica	GCA_000002075.2	metazoa
Asterias rubens	GCA_902459465.3	metazoa
Asterias rubens	GCA_902459465.3	metazoa
Biomphalaria glabrata	GCA_947242115.1	metazoa
Clonorchis sinensis	GCA_003604175.2	metazoa
Clytia hemisphaerica	GCA_902728285.1	metazoa
Crassostrea angulata	GCA_025612915.2	metazoa
Crassostrea gigas	GCA_902806645.1	metazoa
Crassostrea virginica	GCA_002022765.4	metazoa
Dendronephthya gigantea	GCA_004324835.1	metazoa
Dimorphilus gyrociliatus	GCA_904063045.1	metazoa
Dreissena polymorpha	GCA_020536995.1	metazoa
Echinococcus granulosus	GCA_000524195.1	metazoa
Echinococcus multilocularis	GCA_000469725.3	metazoa
Exaiptasia diaphana	GCA_001417965.1	metazoa
Fragum fragum	GCA_946902895.1	metazoa
Gari tellinella	GCA_922989275.2	metazoa
Gibbula magus	GCA_936439675.1	metazoa
Gibbula magus	GCA_936450465.1	metazoa
Gigantopelta aegis	GCA_016097555.1	metazoa
Haemonchus contortus	GCA_000469685.2	metazoa
Haliotis rubra	GCA_003918875.1	metazoa
Haliotis rufescens	GCA_023055435.1	metazoa
Hydra vulgaris	GCA_022113875.1	metazoa
Hydra vulgaris	GCA_000004095.1	metazoa
Hydractinia symbiolongicarpus	GCA_029227915.2	metazoa
Hypsibius exemplaris	GCA_002082055.1	metazoa
Limnoperna fortunei	GCA_944474755.1	metazoa
Limnoperna fortunei	GCA_944589985.1	metazoa
Lineus longissimus	GCA_910592395.2	metazoa
Lineus longissimus	GCA_910592375.2	metazoa
Lingula anatina	GCA_001039355.2	metazoa
Lumbricus rubellus	GCA_945859605.1	metazoa
Lytechinus pictus	GCA_015342785.2	metazoa
Lytechinus variegatus	GCA_018143015.1	metazoa
Mercenaria mercenaria	GCA_014805675.2	metazoa
Mimachlamys varia	GCA_947623455.1	metazoa
Mimachlamys varia	GCA_947622925.1	metazoa
Mizuhopecten yessoensis	GCA_002113885.2	metazoa
Mya arenaria	GCA_026914265.1	metazoa
Octopus bimaculoides	GCA_001194135.1	metazoa
Octopus bimaculoides	GCA_001194135.2	metazoa
Octopus sinensis	GCA_006345805.1	metazoa
Orbicella faveolata	GCA_002042975.1	metazoa
Ostrea edulis	GCA_023158985.1	metazoa
Owenia fusiformis	GCA_903813345.1	metazoa
Paramacrobiotus metropolitanus	GCA_019649055.1	metazoa
Patella depressa	GCA_948474765.1	metazoa
Patella pellucida	GCA_917208275.1	metazoa
Patella vulgata	GCA_932274485.1	metazoa
Patella vulgata	GCA_932274405.1	metazoa
Patiria miniata	GCA_015706575.1	metazoa
Pecten maximus	GCA_902652985.1	metazoa
Pocillopora damicornis	GCA_003704095.1	metazoa
Pomacea canaliculata	GCA_003073045.1	metazoa
Pomphorhynchus laevis	GCA_012934845.2	metazoa
Priapulus caudatus	GCA_000485595.2	metazoa
Saccoglossus kowalevskii	GCA_000003605.1	metazoa
Schistosoma haematobium	GCA_000699445.2	metazoa
Schmidtea mediterranea	GCA_002600895.1	metazoa
Spisula solida	GCA_947247005.1	metazoa
Stylophora pistillata	GCA_002571385.1	metazoa
Tridacna crocea	GCA_943736015.1	metazoa
Tridacna gigas	GCA_945859785.2	metazoa
Cajanus cajan	GCA_000340665.1	eukarya
Digitaria exilis	GCA_902859565.1	eukarya
Linaria vulgaris	GCA_948329865.1	eukarya
Oryza sativa Indica Group	GCA_009914875.1	eukarya
Oryza sativa Indica Group	GCA_009831025.1	eukarya
Oryza sativa Indica Group	GCA_009829375.1	eukarya
Oryza sativa Indica Group	GCA_001618795.1	eukarya
Oryza sativa Indica Group	GCA_009831295.1	eukarya
Oryza sativa Indica Group	GCA_009831355.1	eukarya
Oryza sativa Indica Group	GCA_009829395.1	eukarya
Oryza sativa Indica Group	GCA_001618785.1	eukarya
Oryza sativa Indica Group	GCA_009831045.1	eukarya
Oryza sativa aromatic subgroup	GCA_009831255.1	eukarya
Oryza sativa aus subgroup	GCA_009831335.1	eukarya
Oryza sativa aus subgroup	GCA_001952365.2	eukarya
Oryza sativa tropical japonica subgroup	GCA_009830595.1	eukarya
Oryza sativa tropical japonica subgroup	GCA_009831275.1	eukarya
Oryza sativa tropical japonica subgroup	GCA_009831315.1	eukarya
Vigna unguiculata	GCA_004118075.1	eukarya
Vitis vinifera	GCA_910591555.1	eukarya
Plasmodium ovale	GCA_900090035.2	eukarya
Plasmodium ovale	GCA_900090025.2	eukarya
Plasmodium vivax	GCA_014843685.1	eukarya
Plasmodium vivax	GCA_900093535.1	eukarya
Plasmodium vivax	GCA_014843945.1	eukarya
Plasmodium vivax	GCA_014843675.1	eukarya
Plasmodium vivax	GCA_900093555.2	eukarya
Plasmodium vivax	GCA_014843935.1	eukarya
Plasmodium vivax	GCA_900178095.1	eukarya
