Species	Accession	Clade
Cheilosia soror	GCA_949372485.1	metazoa
Cheilosia soror	GCA_949372475.2	metazoa
Cheilosia soror	GCA_948107765.1	metazoa
Cheilosia variabilis	GCA_951230875.1	metazoa
Cheilosia variabilis	GCA_951230905.1	metazoa
Cheilosia vernalis	GCA_949126925.1	metazoa
Cheilosia vernalis	GCA_949126935.1	metazoa
Cheilosia vulpina	GCA_916610125.1	metazoa
Cheilosia vulpina	GCA_916610195.1	metazoa
Chironomus riparius	GCA_917627325.1	metazoa
Chrysotoxum bicinctum	GCA_911387745.1	metazoa
Chrysotoxum bicinctum	GCA_911387755.1	metazoa
Chymomyza fuscimana	GCA_949987675.1	metazoa
Cistogaster globosa	GCA_937654795.1	metazoa
Cistogaster globosa	GCA_937654215.1	metazoa
Clusia tigrina	GCA_920105625.2	metazoa
Conops quadrifasciatus	GCA_949752815.1	metazoa
Coremacera marginata	GCA_914767655.1	metazoa
Coremacera marginata	GCA_914767935.1	metazoa
Crataerina pallida	GCA_949710015.1	metazoa
Criorhina berberina	GCA_917880715.1	metazoa
Criorhina berberina	GCA_917880925.1	metazoa
Criorhina berberina	GCA_917880715.2	metazoa
Culex quinquefasciatus	GCA_015732765.1	metazoa
Dasysyrphus albostriatus	GCA_946251815.1	metazoa
Dasysyrphus albostriatus	GCA_946251825.1	metazoa
Drosophila albomicans	GCA_009650485.2	metazoa
Drosophila ananassae	GCA_017639315.2	metazoa
Drosophila arizonae	GCA_001654025.1	metazoa
Drosophila biarmipes	GCA_025231255.1	metazoa
Drosophila bipectinata	GCA_000236285.2	metazoa
Drosophila busckii	GCA_011750605.1	metazoa
Drosophila elegans	GCA_000224195.2	metazoa
Drosophila erecta	GCA_003286155.2	metazoa
Drosophila eugracilis	GCA_018153835.1	metazoa
Drosophila ficusphila	GCA_018152265.1	metazoa
Drosophila grimshawi	GCA_018153295.1	metazoa
Drosophila guanche	GCA_900245975.1	metazoa
Drosophila gunungcola	GCA_025200985.1	metazoa
Drosophila hydei	GCA_003285905.2	metazoa
Drosophila innubila	GCA_004354385.1	metazoa
Drosophila kikkawai	GCA_018152535.1	metazoa
Drosophila mauritiana	GCA_004382145.1	metazoa
Drosophila melanogaster	GCA_000001215.4	metazoa
Drosophila miranda	GCA_003369915.2	metazoa
Drosophila mojavensis	GCA_018153725.1	metazoa
Drosophila navojoa	GCA_001654015.2	metazoa
Drosophila obscura	GCA_018151105.1	metazoa
Drosophila persimilis	GCA_003286085.2	metazoa
Drosophila phalerata	GCA_951394115.1	metazoa
Drosophila pseudoobscura	GCA_009870125.2	metazoa
Drosophila rhopaloa	GCA_000236305.2	metazoa
Drosophila santomea	GCA_016746245.2	metazoa
Drosophila sechellia	GCA_004382195.2	metazoa
Drosophila simulans	GCA_016746395.2	metazoa
Drosophila subobscura	GCA_008121235.1	metazoa
Drosophila subpulchrella	GCA_014743375.2	metazoa
Drosophila suzukii	GCA_013340165.1	metazoa
Drosophila takahashii	GCA_018152695.1	metazoa
Drosophila teissieri	GCA_016746235.2	metazoa
Drosophila virilis	GCA_003285735.2	metazoa
Drosophila willistoni	GCA_018902025.2	metazoa
Drosophila yakuba	GCA_016746365.2	metazoa
Empis stercorea	GCA_949752835.1	metazoa
Epicampocera succincta	GCA_932526305.1	metazoa
Epicampocera succincta	GCA_932527255.1	metazoa
Epistrophe grossulariae	GCA_929447575.1	metazoa
Epistrophe grossulariae	GCA_929447395.1	metazoa
Episyrphus balteatus	GCA_945859675.1	metazoa
Episyrphus balteatus	GCA_945859705.1	metazoa
Eristalinus sepulchralis	GCA_944738645.1	metazoa
Eristalinus sepulchralis	GCA_944738805.1	metazoa
Eristalis arbustorum	GCA_916610155.1	metazoa
Eristalis arbustorum	GCA_916610145.1	metazoa
Eristalis pertinax	GCA_907269085.1	metazoa
